Grouped conversations by hostname.
Counted frequencies of packet lengths exchanged with each hostname.
Counted frequencies of packet sequences exchanged with each hostname.
Counted frequencies of packet pairs per hostname.
Reassembled TCP conversations occurring shortly after each user event.
========================================
       Clustering results for ON        
       Number of clusters: 2
<<< Cluster #01 (047 points) >>>
206, 191, 14.215.35.235, 192.168.2.155, S, C
206, 191, 14.215.35.235, 192.168.2.155, S, C
206, 191, 14.215.35.235, 192.168.2.155, S, C
206, 191, 14.215.35.235, 192.168.2.155, S, C
206, 191, 14.215.35.235, 192.168.2.155, S, C
205, 190, 14.215.35.235, 192.168.2.155, S, C
206, 191, 14.215.35.235, 192.168.2.155, S, C
206, 191, 14.215.35.235, 192.168.2.155, S, C
206, 191, 14.215.35.235, 192.168.2.155, S, C
206, 191, 14.215.35.235, 192.168.2.155, S, C
206, 191, 14.215.35.235, 192.168.2.155, S, C
206, 191, 14.215.35.235, 192.168.2.155, S, C
205, 190, 14.215.35.235, 192.168.2.155, S, C
206, 191, 14.215.35.235, 192.168.2.155, S, C
206, 191, 14.215.35.235, 192.168.2.155, S, C
206, 191, 14.215.35.235, 192.168.2.155, S, C
206, 191, 14.215.35.235, 192.168.2.155, S, C
205, 190, 14.215.35.235, 192.168.2.155, S, C
206, 191, 14.215.35.235, 192.168.2.155, S, C
206, 191, 14.215.35.235, 192.168.2.155, S, C
206, 191, 14.215.35.235, 192.168.2.155, S, C
206, 191, 14.215.35.235, 192.168.2.155, S, C
206, 191, 14.215.35.235, 192.168.2.155, S, C
206, 191, 14.215.35.235, 192.168.2.155, S, C
205, 190, 14.215.35.235, 192.168.2.155, S, C
206, 191, 14.215.35.235, 192.168.2.155, S, C
206, 191, 14.215.35.235, 192.168.2.155, S, C
206, 191, 14.215.35.235, 192.168.2.155, S, C
206, 191, 14.215.35.235, 192.168.2.155, S, C
206, 191, 14.215.35.235, 192.168.2.155, S, C
206, 191, 14.215.35.235, 192.168.2.155, S, C
206, 191, 14.215.35.235, 192.168.2.155, S, C
206, 191, 14.215.35.235, 192.168.2.155, S, C
206, 191, 14.215.35.235, 192.168.2.155, S, C
206, 191, 14.215.35.235, 192.168.2.155, S, C
206, 191, 14.215.35.235, 192.168.2.155, S, C
206, 191, 14.215.35.235, 192.168.2.155, S, C
206, 191, 14.215.35.235, 192.168.2.155, S, C
206, 191, 14.215.35.235, 192.168.2.155, S, C
206, 191, 14.215.35.235, 192.168.2.155, S, C
206, 191, 14.215.35.235, 192.168.2.155, S, C
206, 191, 14.215.35.235, 192.168.2.155, S, C
206, 191, 14.215.35.235, 192.168.2.155, S, C
206, 191, 14.215.35.235, 192.168.2.155, S, C
206, 191, 14.215.35.235, 192.168.2.155, S, C
206, 191, 14.215.35.235, 192.168.2.155, S, C
206, 191, 14.215.35.235, 192.168.2.155, S, C

<<< Cluster #02 (050 points) >>>
196, 119, 192.168.2.155, 14.215.35.235, C, S
196, 119, 192.168.2.155, 14.215.35.235, C, S
196, 119, 192.168.2.155, 14.215.35.235, C, S
196, 119, 192.168.2.155, 14.215.35.235, C, S
196, 119, 192.168.2.155, 14.215.35.235, C, S
196, 119, 192.168.2.155, 14.215.35.235, C, S
196, 119, 192.168.2.155, 14.215.35.235, C, S
196, 119, 192.168.2.155, 14.215.35.235, C, S
196, 119, 192.168.2.155, 14.215.35.235, C, S
196, 119, 192.168.2.155, 14.215.35.235, C, S
196, 119, 192.168.2.155, 14.215.35.235, C, S
196, 119, 192.168.2.155, 14.215.35.235, C, S
196, 119, 192.168.2.155, 14.215.35.235, C, S
196, 119, 192.168.2.155, 14.215.35.235, C, S
196, 119, 192.168.2.155, 14.215.35.235, C, S
196, 119, 192.168.2.155, 14.215.35.235, C, S
196, 119, 192.168.2.155, 14.215.35.235, C, S
196, 119, 192.168.2.155, 14.215.35.235, C, S
196, 119, 192.168.2.155, 14.215.35.235, C, S
